Job Title,Company,Location,Job Description
Software Engineer,Paramount,"Burbank, CA","Paramount Global (NASDAQ: PARA, PARAA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic studios, networks and streaming services, Paramount's portfolio of consumer brands includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. Paramount delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, the company provides powerful capabilities in production, distribution and advertising solutions.

Division Overview:
The Video Operations and Streaming team is responsible for supporting the video delivery and architecture of VOD and Live content streamed on over 15 platforms for CBS All Access. Our team is also responsible for the encoding and delivery of premium content to millions of users every day.

Role Details:
We are seeking a Full-Stack Software Engineer who will help drive our system’s evolution. This person will be an integral part of the central Video Streaming and Operations team, working with other video tech engineers to build and release products for various platforms. We are responsible for supporting the video delivery and architecture of VOD and Live content streamed on over 15 platforms for CBS All Access. Our team is also responsible for the encoding and delivery of premium content to millions of users every day. This person will also be responsible for building out our user interface in a scalable and maintainable fashion.

Your Day-to-Day:
Work with other engineers to maintain and evolve our video encoding platform.
Modernize, manage and automate our Live and VOD event management system.
Work with publishing teams to gather requirements and support the scheduling, monitoring and operating of live events.
Build clean and reusable UI components to be used across the application.
Write unit and integration tests to improve our code base quality and test coverage.
Build out microservices for our cloud (AWS/GCP) video processing workflows.

Basic Qualifications:
3+ years of experience as a Software Engineer.
Experience with working on production level User Interface.
Solid grasp and understanding of HTML, CSS and Javascript.
Solid understanding of modern Javascript frameworks such as React.
Experience in programming one the server side languages such as Python, Go or Node.
Experience with container technology such as Docker.
Experience working with Cloud/SaaS services such as Amazon AWS, Google Cloud or Azure.

Additional Qualifications:
BS degree in Computer Science, similar technical field of study or equivalent practical experience.
Experience working with video codecs: H264, HEVC, AV1, VP9.
Familiarity with video protocols such as RTP, RTMP, HLS, HDS, Smooth Streaming.
Familiarity with modern video codecs like H264, VP8, VP9, AV1.

Paramount is an equal opportunity employer (EOE) including disability/vet.

At Paramount, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. Paramount is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.paramount.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned."
Software Engineer (Muitiple Positions and Levels),Adobe,"San Jose, CA","locations
San Jose
Denver
Seattle
Portland
time type
Full time
posted on
Posted 30+ Days Ago
job requisition id
R118358
Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!
Our Company
Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences. We’re passionate about empowering people to craft beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.
We’re on a mission to hire the very best and are committed to building exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!
The Opportunity
We currently have several different positions and levels (Mid P30 - Senior P40) of opportunities across our organization for Backend Software Engineer’s to join Adobe Marketo Platform Engineering Team. Marketo Engage platform and applications give customers ability to build, manage, and execute personalized engagement at scale across multiple touchpoints and drive authentic experiences for everyone, everywhere, and every time.
What you'll Do
Play a central role in the design, development, and delivery of Adobe Marketo Platform.
Work across teams to provide seamless integrations between various Adobe Experience Cloud Solutions.
Passionate about building large scale distributed platform services.
Passionate about operational excellence and thrive to build robust and maintainable scalable software services.
What you need to succeed
MS/BS degree in Computer Science or equivalent with at least 3 years of software development experience.
Strong programming experience with Java/Scala.
Experience with building distributed data processing services and multi-threaded programming.
Experience with SQL and/or NoSQL databases such as MySQL, MongoDB, Redis, Cosmos.
Experience with Agile methodologies.
Excellent interpersonal skills and an eagerness to collaborate.
Passion for technical challenges, evaluating options, and driving solutions.
Passionate about developing the best software practices and championing them.
You are committed to delivering products that tackle critical business needs and iterating with customers for early feedback and areas of improvement.
What will help you stand out from the crowd
Experience with Stream Processing Frameworks such as Spark, Kafka, Akka framework.
Proven knowledge in developing, deploying, highly available, SaaS applications and services in public and private cloud.
Pursuant to the Colorado Fair Pay Act, below is a summary of compensation elements for this role at the company if based in Colorado.
Colorado Starting Salary: $133,400 - $173,200
At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).
In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award."
html Coder,Resmatic Inc.,"Sebastopol, CA","We have an ongoing need for HTML coders working offsite on a CONTRACT basis.
Hand-write basic, clean html code on a contract basis.
Work with designers and customer reps to make modifications and updates to existing and new client's websites.

Use your internet skills to search and compile information from the web.
Qualifications:This is a telecommuting opportunity. You'll need your own computer, workspace and internet connection.You have experience succeeding at projects as a freelance contributor.Mastery of html, photoshop, and working knowledge of installing and configuring pre-written perl scripts.Knowledge of perl and Javascript a plus.This is a contract ""as-needed"" position that requires that you be reachable during normal business hours."
Software Engineer Apprentice (Salesforce),IBM,"San Francisco, CA","Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
Are you interested in pursuing a software development career? Have you heard about agile development, but want to learn more about how it ‘works’? Are you someone that has a foundational understanding of development or programming concepts, but want to take a less traditional path to achieve it?


What is an Apprenticeship?
IBM Apprenticeship Program, which lasts approximately 12 months, is an official registered apprenticeship recognized by the Department of Labor (DOL). Every graduate of a Registered Apprenticeship program receives a nationally-recognized credential from the DOL.

During the apprenticeship duration, you will be required to complete specific learning hours and on the job training that has been outlined to ensure you are developing the skills and competencies essential to the role. You will be able to learn and grow at your own pace, but we expect most apprentices will complete their learning within 12 months. Once you graduate and receive your certificate from our apprentice program, you will be eligible to apply to available full-time roles at IBM.


Who you Are
An apprenticeship is about learning. We’re seeking candidates who have the following requirements, but we know you’re just getting your career started, and we’re committed to helping you learn and grow. If you’ve had some experience with coding or development in the past, you’re exactly the type of candidate we’re looking for….
Drive and eagerness to learn
Strong problem solving and communication skills
Able to work independently and take initiative, as well as work collaboratively and contribute to an agile team environment
Some knowledge or experience in ONE or more of the following:
Java, JavaScript, PHP, C#, Objective-C, C/C++, Python, Ruby and/or functional languages (Haskell, Scala, F#, Clojure)
Design Thinking
Hypothesis driven development
Social coding
Agile principles
Container development using tools such as Docker or Vagrant
Application Development, DevOps automation, and the development toolchain (e.g. Travis, Jenkins, Junit, automated test tools)

What’s the Experience?

As an apprentice, you'll join with other apprentices in a local cohort. You'll go through your first few weeks together, learning about IBM and the skills you'll be attaining throughout your apprenticeship. Then, you'll work with your managers and mentors to progress through your personal skills roadmap, learning and demonstrating new knowledge and competencies through hands-on application with your project teams. You'll complete milestones along the way, earning digital credentials to validate your skills, and will come back together with other apprentices to participate in on-going training and development focused on your professional and technical skills.

As a Software Engineer Apprentice at IBM focused on our Salesforce Services business, you'll work as part of a larger team of experienced developers and mentors in an interactive, collaborative environment. You’ll learn the fundamentals of development, software design, testing, and cloud computing, agile principles, IBM Design Thinking, DevOps and continuous delivery. You will also learn how to resolve IBM customer issues, debug customer problems and environments, and increase Cloud Service skills, and will build the skills to grow your career as a Software Developer. Best of all, you are a contributing member of your team, putting forward ideas, taking on responsibilities and making choices about how you get the job done just like any other IBMer.

Must be local or willing to relocate to San Francisco. No relocation is available for this position.

ncappx

Required Technical and Professional Expertise

Must have basic knowledge in one of the following programming languages: Apex, Java, JavaScript, PHP, C#, Objective-C, C/C++, Python, Ruby and/or functional languages (Haskell, Scala, F#, Clojure)
Willingness to complete the requirements of the apprenticeship program.

Preferred Technical and Professional Expertise

Experience with/exposure to Salesforce

About Business Unit
IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.

Your Life @ IBM
Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.


At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement
IBM offers a competitive benefits program which may include medical, dental, vision, paid holidays, paid sick time, paid vacation, Employee Assistance Program (EAP), life insurance, IBM 401(k) Program and Employee Stock Purchase Plan.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Jr. Software Developer,Amazon.com Services LLC,"Irvine, CA","Qualifications

Currently enrolled in a Bachelor's program in Computer Science or related education in STEM discipline
Ability to work an average 16 hour workweek during school session and 40 hour workweek during summer
JAVA or other object oriented programming language

Jr. Software Developer: Job Description
The Jr Developer Program is a unique employment opportunity that will provide excellent mentoring year-round: part-time during school and full-time during the summer. Students will be immersed in an Amazon team and gain real-life software development experience. Upon successful completion of the Jr Developer Program, the opportunity for full-time employment will be available at the Amazon corporate sites located in Irvine, California.

Our Internship Program

Our internship program is special in several respects:

We offer work year-round, 16 hrs/week while in school and full-time during breaks. Working schedules are re-arranged each quarter to accommodate class schedules.
We offer excellent mentoring. Our full-time software developers are willing and able to mentor exceptional student developers.
We give our interns responsibilities and roles which will prepare them to enter the workforce after graduation with “real world” software programming experience.

The students who participate in our program routinely say that the real reason they’re here is for the valuable learning experience, especially because of the uniform excellence of the team they work with, the mentoring offered by experienced developers, and the challenge of being a principal contributor to software products. They say it’s like taking an additional practicum course that complements their university experience.


Solid knowledge of JAVA
Advanced programming classes

"
"Software Engineer, Web Development",Tinder,"Los Angeles, CA","Tinder brings people together. With tens of millions of users, hundreds of millions of downloads, 2 billion swipes per day, 20 million matches per day and a presence in every country on earth, our reach is expansive—and rapidly growing.
At Tinder, we are passionate about building software to bring our growing global user base one swipe closer to a new adventure! We empower all team members to contribute solutions - this is not a top down organization. We feel it is meaningful to learn from one another and grow as a team.
As a Web engineer at Tinder, you will have an outsized impact and ownership of the most visible aspects of the Tinder.com progressive web app and other web projects across the company. We are a small but growing team using modern web technologies to build high quality, performant, and accessible products for our members.
We have always believed in using technology to foster innovation and form meaningful connections - despite physical distance. This position is available remotely within the US and/or when it is safe to re-open, can be located in our LA or Bay Area offices.
In this engineering role, you will:
Develop exciting new revenue-driving features and help the team scale to meet our fast-growing user base and global audience
Improve subscriber retention while driving conversions and reducing churn
Collaborate with various technical and functional teams across our company
Gain exposure to terabytes of data including billions of swipes every day
Own all aspects of software engineering and product development
Participate in architecture, design, and code reviews
Build highly reliable software solutions


We're looking for:
You possess a deep knowledge of JavaScript, HTML5, and CSS3
You have experience developing sophisticated applications using modern web frameworks, such as React/Redux, Vue, etc.
Experience collaborating with product owners, designers and other specialists to build rich end-to-end user experiences
Experience analyzing and optimizing web application performance
Strong communication skills and a passion to solve unique and ambitious problems
An advocate for good code quality and best engineering practices
As part of our team you'll enjoy:
Working on a product that has an immediate impact on people’s lives all around the world
Collaborating with a team of creative, fun and driven colleagues
Comprehensive health coverage, competitive salary, 401(k) employer match
Other perks and wellness benefits like a fitness membership subsidy, paid concierge medical membership, pet insurance offerings, and a commuter subsidy
A robust Learning + Development offering including our MentorMatch program, access to a library of 6,000+ online learning courses through Udemy, and an annual L+D stipend
Access to mental health resources
Fertility preservation benefits
No Meeting Wednesdays, an annual Learning + Development stipend, and access to a wide range of product and service discounts through Perkspot
Charitable donations match up to $15,000 annually
Monthly and weekly interactive virtual events including Book Club, trivia with prizes and yoga workouts
The opportunity to join six active Employee Resource Groups (ERGs)
At Tinder, we don’t just accept differences — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our product, and our community. We strive to make our workplace an inclusive and diverse environment, giving people from all walks of life the opportunity to have a voice. We champion and encourage those who bring different perspectives, ideas, and creativity to join our team dedicated to bringing people together across the globe. Tinder is proud to be an equal opportunity workplace where we welcome all people regardless of sex, gender identity, race, ethnicity, disability, or other lived experience."
Software Development Engineer in Test,Hulu,"Santa Monica, CA","Disney Streaming’s Growthlife QA team is seeking a Software Development Engineer (Test) who will be an extraordinary addition to our team!

We are building next generation of APIs for backend services that power subscriptions, promotions, partnerships, invoicing, entitlements, payments, and accounting, and as an SDET at Disney Streaming, you will play an integral role in defining test strategies, building test automation, investigating/reporting issues, and collaborating across the Engineering teams to release quality software with high confidence in the pursuit of delighting our subscribers. You will be contributing to delivering service platform enhancements to our Disney+, ESPN+, Star+, and Hulu products. You will set up and enhance test automation frameworks and engineer efficient, scalable, and maintainable test infrastructure.

The right person has a strong attention to detail, is intellectually curious, takes accountability and ownership for the definition and delivery of high-quality work. The right person also demonstrates a strong sense of collaboration in their work and professional relationships, clearly and thoughtfully communicates in their areas of expertise, identifies problems, and acts strategically to craft a solution, and empathizes with and advocates for the needs of customers. If you are someone who effectively moves between high-level concepts and low-level execution, then this is a great role for you!"
"Software Engineer, University Graduate, 2022",Wing,"Palo Alto, CA","About Wing:

Wing is reshaping the future of delivery. We are an on-demand drone delivery service that can deliver food, medicine or other items within minutes. We've also developed an unmanned traffic management platform to safely route drones through the sky. Our service is faster, safer and produces far less pollution than traditional delivery. Originally created in 2012 within X, the Moonshot Factory, Wing is now an Alphabet company.
About the Role:

Wing is looking for Software Engineers to join our Software Products & Services team! Our team builds mobile and web applications, backend systems and infrastructure that power Wing's drone delivery service, enables drone pilots to fly safely in the US, Europe, and Australia, and supports Wing's engineering team in building the next generation of drone delivery technology. You'll work alongside passionate engineers who care about building quality drone delivery and Unmanned Traffic Management services, and help to define how we bring delivery to the sky!

Our team covers a wide variety of domains, so if you're excited about building apps that will be used by real-world customers, developing scalable backend services, delighting users with friendly, welcoming interfaces, or enjoy working with large-scale technical infrastructure, come join our team!

(This role is remote eligible.)

What You'll Do:

Participate in full life-cycle software development including requirements, design, development, testing, and support of new features and capabilities
Build the next generation of drone delivery software and services
Help us grow and deliver by solving difficult challenges related to the scale of Wing operations, and bring greater scale and reliability to Wing's systems
Collaborate closely with cross-functional teams across Wing to tackle novel challenges in a growing field
Further develop your skills in application development and distributed systems, learn about drone aviation, and work with a supportive, growth-oriented team

What You'll Need:

Bachelor's or Master's degree in Computer Science, Engineering, or a related field
Strong foundation in computer science, data structures, algorithms and software design
Experience with at least one OOP language
Passion for learning and strong teamwork mindset

Bonus:

Experience developing your own side projects or participation in open source projects around ideas you're passionate about
Passion for aviation, drones, or related technologies"
Software Engineer,Polyture,"Santa Clara, CA","Bay Area, California
Full Time
At Polyture, we are building a next generation data infrastructure platform for traditionally data-scattered enterprise. We are motivated by empowering everyone - not just the Google’s and Facebook’s of the world - to derive business insights from their sales, manufacturing, sensor, and other data.
Minimum Qualifications:
Bachelor’s degree or equivalent practical experience.
Experience in Python or JavaScript.
Experience in web/mobile development, Unix/Linux environments, distributed/parallel systems, networking, or systems development.
Preferred Qualifications:
Comfort with cleaning and analyzing data with Jupyter/Python.
Eye and appreciation for great design.
Experience in software engineering or data science research.
Most importantly, we are looking for someone who is excited and curious. We are very open to recent graduates!"
Associate Software Engineer,Blizzard Entertainment,"Irvine, CA","Team Name:
Job Title:
Associate Software Engineer
Requisition ID:
R012759
Job Description:
Blizzard Entertainment is looking for a talented software engineer to enhance our customer support applications and services. You will collaborate with data scientists, designers, product managers, software engineers, and other partners across Blizzard to improve our customer experience both in and out of our games.
The software we build together ensures that players can enjoy our games in a positive and friendly environment and resolve any issue they have. Our team loves Blizzard games and we care deeply about ensuring everyone can fully enjoy our games; if you do too, then this is the team for you!
REQUIREMENTS
Bachelor’s degree in Computer Science or related discipline; or equivalent experience
Passion to learn and grow as a software engineer
Excellent verbal and written communication skills
PLUSES
Experience developing applications or services using C#
Experience developing applications using the Angular framework
Experience developing and integrating with relational and document database solutions
Experience authoring, executing, and analyzing the results of unit, integration, and regression tests
Experience with public cloud providers and private cloud solutions
Experience with container development and orchestration solutions
Contributions to open-source or personal projects
Passion for video games
REQUIRED APPLICATION MATERIALS
Resume
Cover letter"
