Job Title,Company,Location,Job Description
Enterprise Sales Manager,Singtel,"Dallas-Fort Worth, TX","Develop new and existing business.
Generate new revenue from Fortune 100 companies to meet an assigned annual sales quota.
Write and present customer proposals."
Solutions Manager,Singtel,"Redwood City, CA 94065",• The primary responsibility of the Solutions Manager is to provide Pre-Sales Technical Solutions to support Singtel USA business.
Network Specialist,Singtel,"Redwood City, CA 94065",This role provides valuable operations management to address operational matters promptly and effectively across various internal SingTel teams – resulting in…
"Engineer, Cybersecurity Engring & Ops",Singtel,Singapore,"We are looking for fresh graduates to join us as Cyber Security Analyst / Engineer in the areas of governance, planning, or operations."
Administrative Executive,Singtel,Singapore,"Provide and be responsible for full spectrum of administrative support for various teams with staff/vendor contractors.
Work with IT Project In-Charge."
Senior Customer Care Officer,Singtel,Singapore,"We’re looking a Singtel Care Advisor who loves solving problems and creating long term customer relationships.
Process orders, forms, applications and requests."
Customer Care Officer (SME Business Hotline),Singtel,Singapore,"Our representatives reach out to our customers through calls, chats or emails on their queries /feedback and walk them through basic troubleshooting."
Customer Care Officer,Singtel,Singapore,"Manage inbound calls, concurrent chats enquiries or business emails in a timely manner.
Provide extensive knowledge about specific products and services to…"
Customer Service Executive,Singtel,Singapore,"Coordinate and process New Mobile Applications, SIM Activation, Line Transfer, Activation of Value-Added Services (VASes), Re-contracting, etc."
Sales Operations Associate,Singtel,Singapore,"The primary purpose of the position is to support the Sales Operations Department.
This include but are not limited to order valiation, tracking of order status…"
Accounts Payable Executive,Singtel,Singapore,"Support payment & analysis requirements for cashflow management.
Work with reporting, onshore & offshore teams on payment transactions & reconciliations and…"
Customer Service Executive (1 year Agency Contract),Singtel,Singapore,"Coordinate and process New Mobile Applications, SIM Activation, Line Transfer, Activation of Value-Added Services (VASes), Re-contracting, etc."
Engineer - RNQ (Inbuilding Specialist Team),Singtel,Singapore,"In this role, you will be responsible for tunnel design strategy, RF requirement and technical solution evaluation to achieve cost effective tunnel coverage…"
Retail Executive,Singtel,Singapore,"Drives sales through active engagement of customers, sharing product knowledge, explains and demonstrates the different functions and features of the products."
Customer Care Officer (Bedok/Bukit Batok/Havelock) 1,Singtel,Singapore,The Customer Care Officer is responsible for handling inbound calls from customers in an efficient and effective manner.
Technician,Singtel Group,Singapore,"Responsible for the cable construction and maintenance works in Singtel.
These cables can subsequently be used for 5G, broadband or enterprise services."
Customer Care Specialist,Singtel,Singapore,We’re looking a Customer Care Specialist who loves embracing new challenges and creating long term customer relationships.
Senior Customer Care Officer (Agency),Singtel,Singapore,"Officers will have opportunities to work cross-functionally and manage challenging situations.
On-the-job training about different Singtel products will be…"
Customer Relationship Executive,Singtel,Singapore,"Communicate politely and timely with customers and stakeholders by SMS, email, letter, face to face, and telephone calls."
Sales Support Executive,Singtel,Singapore,"Provide sales support to business managers and account managers for any sales support requirement.
Provide assistance to sales people; manage large volume of…"
Fraud Specialist (Agency Contract),Singtel,Singapore,"Perform analysis on customer profile and usages to identify suspicious transactions and unusual calls patterns.
Suspend or resume services in systems."
"Engineer, Facilities Management",Singtel,Singapore,"Responsible for the delivery of efficient and cost-effective facility management and to SingTel’s property portfolio.
Perform Root Cause Analysis on Incident."
Agency: Data Analyst,Singtel,Singapore,"To support Service Delivery Executive (SDE) in facilitating resolution of orders disputes.
To be able to follow-up and check on disputed orders diligently and…"
Social Media Relations Executive,Singtel,Singapore,"We’re looking a Social Media Relations Executive who loves solving problems and creating long term customer relationships.
Be the voice of the customers."
"Project Management Admin Officer (Training Provided, 1 Year...",Singtel,Singapore,"Drive, align and adopt Project Management Methodology (PMM).
Plan and execute people engagement related events such as teambuilding and townhalls."
eShop Support (1 year Agency Contract),Singtel,Singapore,"Inventory management for all e-shop portals, including virtual inventory process during presales and major launches.
Minimum GCE ""O"" / ""A"" Levels / Diploma."
#SGUnitedTraineeships (SGUT) - Desktop Engineer,Singtel Group,Singapore,"This position works with various stakeholders and is responsible for installing, diagnosing, maintaining, and upgrading all hardware and equipment."
Billing Executive,Singtel,Singapore,"Process the requests for bill adjustments and waivers.
Manage the day-to-day operational and administrative tasks related to billing."
Fraud Specialist (Contract),Singtel,Singapore,"Perform analysis on customer profile and usages to identify suspicious transactions and high-risk calls patterns.
Suspend or resume services in systems."
Credit Management,Singtel,Singapore,"In-Charge of Accounts Receivable (AR) & Collection from SME Customers.
Attend Customer meeting to resolve issues.
Prepare Operation and management report."
Network Engineer,Singtel,Singapore,"Group Enterprise 5G technology team is seeking for a hands-on network engineer, who will be part of the software development team of the Group Enterprise 5G…"
Administrative Executive (6 Month Agency Contract),Singtel,Singapore,"Manage calendar, schedule meetings and book meeting venues, provide support to visitors.
Carries out administrative duties such as filing, printing, binding,…"
Operations Manager,Singtel,Singapore,"Lead and shape the Operations Support Team.
Track and manage Operations Expense (Opex) and Capital Expense (Capex).
Good communication and written skills."
"Associate, Data Analysis",Singtel,Singapore,"Increase customers’ product holdings and in-base penetration of Financial & Lifestyle services.
Data exploration & analysis to identify potential customers for…"
Sports Producer (1 year Agency Contract),Singtel,Singapore,"Work proactively with Associate Director, On-Air Promotion, to develop and devise creative solutions for key promotable."
Product Executive,Singtel,Singapore,"Awarded at the HR Fest Awards 2020.
Responsible to assist in providing strategic direction, product feature prioritization, and tactical execution, while…"
Software Application Tester (Agency Contract),Singtel,Singapore,"Incubent will be a quality assurance tester with experience in software application testing to assess and evaluate new applications, programs and software to…"
Cloud Opportunities,Singtel,Singapore,"Cloud technologies in AWS, Azure, Paas, Iaas, SaaS.
5G enterprise edge in domain expertise on Mobile networks and IP networks."
Project and Support Executive,Singtel,Singapore,"As an agile Business Analyst, defines improvements to business processes, gathers information to make decisions in designing customer journey, as well as…"
Real Time Analyst,Singtel,Singapore,Monitors multiple channels to ensure optimal staffing levels to meet performance Service Level targets this includes floor walk/real-time call outs of customer…
"Associate Engineer, Operation (Data Centre)",Singtel,Singapore,"Ensure incidents are responded and attended to, or escalated for 2nd/3rd level resolution based on criticality, impact and SLA."
Account Support Executive,Singtel,Singapore,"Perform deep dive analytics and reporting on mobile usage to provide insights to customers, operations and Management.
Support quotation and GeBiz submission."
Sales Support & Administrative Executive,Singtel,Singapore,"Provide and responsible for full spectrum of administrative support for various teams with staff/vendor contractors.
Management of email distribution lists."
Sales Executive,Singtel,Singapore,"Drive and achieve sales through active engagement of customers, sharing product knowledge, explains and demonstrates the different functions and features of the…"
"Specialist, Network",Singtel,Singapore,"Proactive monitoring and Incident/Fault management for Corp IP Infrastructure.
Ensure that technical and managerial escalation and communication to stake…"
Data Scientist,Singtel,Singapore,"Develop and deploy analytical solutions derived from the telco data.
Develop machine learning models for predictive and prescriptive analytics (regression…"
"Specialist, Systems",Singtel,Singapore,"The Desktop Engineer is responsible for managing day to day support of operational tasks, requests and incidents meeting customer’s requirements and Singtel’s…"
"Engineer, TV Engineering & Ops",Singtel,Singapore,Perform the role of a Support Engineer for the Singtel TV broadcast systems – support three data centres onsite or remotely.
"Engineer, IP & Broadband Engring & Ops",Singtel,Singapore,"Driving and planning the development of the IP Core Network.
Manage projects from both business and operational perspectives, including expanding IP Network…"
#SGUnitedTraineeships (SGUT) - Desktop Remote Support Engine...,Singtel Group,Remote in Singapore,This position works with various stakeholder and is responsible to provide 1st Level Remote Support is required to provide 1st level troubleshooting to users…
Engineer,Singtel,Singapore,"Carry out engineering planning (both pipeline and cable network) to support infrastructure project.
Track and analyse the performance of fibre and pipe…"
