Job Title,Company,Location,Job Description
ANALYST PROGRAMMER,UIC Asian Computer Services Pte Ltd,Bedok,"Job Description
 Analyze, customize, develop, and enhancements to existing system

User requirements gathering, studies and translate into IT solutions
Software project implementation and documentation
Troubleshooting and supporting users

Job Requirements

Degree/Diploma in Information Systems, Computer Science or equivalent fields
At least 3 years’ of experience in developing applications, preferably in Human Resource system and payroll system.
Programming Languages:
Proficient in Microsoft Visual Studio 2015/2019 development tool (C# and VB.NET), Android Studio and Flutter.
Experience with Visual Basic 6.0/Web Services/Store Procedure/VBA/XML/Web API
Well versed in HTML/HTML/CSS/jQuery/AJAX/Bootstrap/Flatter
Good understand of relational database schema design and optimization
Knowledge of Pervasive SQL database and Microsoft SQL


Knowledge of Microsoft Operating System environment, network connectivity, hardware and software
Strong experience in Web Application development, SMS, and Mobile Application
Strong experience in System/Application troubleshooting skills
Experience in reporting tools or components for Web Application
Good project management, interpersonal communications skills
Good documentation,  analytical and onsite problem-solving skills
"
Programmer,Fong's Engineering and Manufacturing Pte. Ltd.,Pasir Ris,"Fong’s Engineering & Manufacturing Private Limited is a leading precision engineering company engaged in the design, manufacture and repair of products primarily for the medical industry.
Working Hours:
Daily Break of 45 minutes.
Monday - Friday 8.00am - 5.30pm
Job responsibilities:

Preparation of machining program and tool list.
Update and upkeep both machining program and tool list.
Provide program troubleshooting.
Provide support to Process Engineer in process improvement at programming level.
Participate in RFQ in conjunction with e-bidding etc.
Provide technical support to Sales relating to quotation.
Change the program and tooling to achieve objectives.
Instruct production personnel to carry out alterations to machining process relating to programming changes.
Perform other tasks as assigned by the supervisor.

Job requirements:

Have 3 to 5 years on job CNC machining and programming experience.
Proficient in using UG8.0 or above CAM.
Diploma in Mechanical Engineering

Salary: $3,000 - $3,500
Please kindly send your resume and state the position you are applying for to **********@fongspl.com.sg"
Analyst Programmer,Teckwah Industrial Corporation Pte Ltd,Serangoon,"Job Responsibilities

Provide operational helpdesk support to users
Support, determine and resolve application problems (1st level software system helpdesk support), reported by users via helpdesk system
Formulate and execute system test plan
Participate in software system development and deployment
Prepare instructional manual relevant to the establishment and functioning of entire software system
Perform any other relevant tasks as assigned

Job Requirements

Degree / Diploma or equivalent in Computer Science / Computer Engineering
2 years expereince in application development, maintenance and operation support as analyst, preferably in Manufacturing/ Logistics/ Supply Chain Management business
Entry level candidates are welcome to apply
Programming Languages- Java Script, J2EE, JSP, Servlets, PHP, SQL
Good exposure to application development/maintenance and operation support
Experience in working with frameworks (eg. Spring, Struts, Hibernate, Velocity or similar frameworks)
Good understanding of web technologies and web based application development
Familiar with SDLC
Familiar with Windows XP and Linux platform
Exposure to Database – Microsoft SQL, mySQL, Oracle DB
Good analytical and interpersonal skills
"
Software Developer,Carlsys Technologies Pte Ltd,Geylang,"Job Description

Minimum 8+ years of experience as Magento / SAP Hybris / SFCC and hands-on experience in architecting large scale solutions.
Experience in development, design, customization and integration on any of the mentioned technologies.
Developed & managed e-commerce websites, web apps using these Enterprise would be an added advantage.
Must have the ability to develop Modules and Customization, Extension Development.
Should have strong knowledge of OOPS, MVC architecture.
Developed plug-in/modules.
Strong PHP, MYSQL, OOPS and RDBMS concept.
Should have good Communication skills and should drive technical discussions with customers.
Should be adept at solving day-to-day impediments, task prioritization and multi-tasking abilities
Should be able to understand and handle tasks independently.
Ability to work to deadlines and drive the tech team towards the deadlines.
"
.NET Programmer,XTREMAX PTE. LTD.,Lavender,"Description
As a Back-End Developer, you will be introduced to ASP.NET development platforms and will be actively involved in building highly responsive websites. You will be tasked with complex programming obstacles that test your skills and eventually train you to climb to the top. Xtremax values developers with raw instincts in programming and the determination to scale Alpine mountains, not hike small hills. We look for talents who are up for the challenge of meeting our high standards in improving user experience without sacrificing performance and speed. Do you aspire to stand atop the highest peaks with us? Join us now.
Responsibilities

Create and develop maintainable software beautifully
Work in teams to analyze and resolve software development problems
Create and simplify technical documentation Recommend and build future upgrades based on analytical issues
Collaborate with us to finish our cookies, then have fun and spread it around the office

Requirements

Basic programming experience gained from a commercial role, your studies or similar
Have a solid analytical thinking skills
Expertise in C# development
Experienced in Git Workflow

By submitting your resume/CV, you consent and agree to allow the information provided to be used and processed by or on behalf of Xtremax Pte Ltd for purposes related to your registration of interest in current or future employment with us and for the processing of your application for employment. The personal data held by us relating to your application will be kept strictly confidential and in accordance with the PDPA. You may also refer to our Privacy Policy for more details here: https://www.xtremax.com/privacy-policy 
We regret to inform you that should you not consent to providing the necessary data required for us to process your application, your application will be considered void"
Software Engineer / Programmer,–,Not Found,"

5 days (8am - 5:30pm) Expect OT
Ang Mo Kio (569628)
Salary : $3,500 - $4,500


Please send your resume to/ 有兴趣者请发送简历至
***************@gmail.com
☎️☎️ WhatsApp:+

https://api.whatsapp.com/send?phone=

14C7279

"
Python Programmer,PERCEPT SOLUTIONS PTE. LTD.,Paya Lebar,"Mandatory Skill(s)

At least 2 years of experience as a Unix shell or Python developer
Strong design and programming skills in Unix shell, Python and related server side technologies
Good experience in developing high quality software code in accordance to development guidelines and coding standards
Should have experience in reviewing and analysing the effectiveness of existing systems and develop strategies to improve them

Desirable Skill(s)

Strong experience in Unix shell, Python and SQL
Experience in infra related task automation
Knowledge on SQL queries and DB concepts

To apply please click the Apply button or send us your updated profile to *******@percept-solutions.com
EA Licence No.:18S9405 / EA Reg. No.:R1330864
Percept Solutions is undergoing a growth phase and are on the lookout for talent. Applicants are encouraged to follow Percept Solutions on LinkedIn @ https://www.linkedin.com/company/percept-solutions/ to stay up to date on our upcoming roles and events."
Associate/Senior Associate (HRIS programmer) - 2 years contract,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,Chia Keng,"Job Description
You will be required to:

Provide technical support in design, development, testing, and deployment of PeopleSoft applications.
Implement change requests as per change management policies and procedures. Perform system modification and enhancements based on business needs.
Review and recommend improvements to current PS processes. Coordinate with Project Manager/Lead to develop project plan and determine resource requirements.
Develop interfaces, understand table structures, run month-end PS batches, and generate reports.
Provide production support for PeopleSoft applications.
Analyze and resolve problem tickets in a timely manner. Provide support in UAT and bug fixing activities.
Manage and utilize the vendor for constant requirement deliveries, projects, following up on the progress, to ensure the project is on track, ensure the deliverables are as per requirement, etc.

REQUIREMENTS:

Degree in Computer Science or IT with at least 5-7 years of HRIS experience, with in-depth knowledge in PeopleSoft 9.2 / PeopleTools 8.56 (Core HR, and Global Payroll & Absence Management modules).
Experience in implementing projects using different software development methodologies (e.g. Agile and Waterfall).
Knowledge with the PeopleSoft HRMS data model and expertise in creation of reports and useful analytics.
Good understanding of human resources functions especially in Payroll module.
Experience in Cloud HR/Recruiting applications and/or Oracle fusion HCM cloud for Talent Management is an added advantage
Technical knowledge of PeopleSoft infrastructure also added advantage (Oracle Database and Windows Server OS
Passion to learn and adapt to new technologies.
"
Programmer,Fong's Engineering & Manufacturing Pte Ltd,Pasir Ris,"
Preparation of Machining program and tool list.
Update and upkeep both machining program and tool list.
Provide program troublshooting.
Provide support to Process Engineer in process improvement at programming level.
Particiapte in RFQ in conjunction with e-bidding etc.
Provide technical support to Sales relating to quotation.
Change the program and tooling to achieve objectives.
Instruct production personnel to carry ou alterations to machining process relating to progrmming changes.
Have 3 to 5 years on job CNC machining and programming experience.
Proficient in using UG8.0 or above CAM.
"
Software Developer,EVANTEK PTE LTD,Kallang,"Job Description:
Responsible for user requirement analysis, functional specification, development, testing and implementation of application systems and customized software.
The engineer supports the integrated system from conception to delivery and maintenance. The main responsibilities are to:
•Perform requirement analysis and preparation of technical specification documents
•Perform deployment and system set up for database, websites and display management systems
•Perform quality assurance tasks including writing test cases, automated testing using scripts, testing, documentation and issues reporting
•Troubleshoot network, hardware and operating system related issues
Requirements:
Diploma or Equivalent from a recognized institution (Computer Science or other IT related field)
At least 3 years of experience in software development and implementation
Good working attitude
Required Skillset:
1.Programming Languages
a) ASP. NET
b) C#
c) MVC
d) Visual Studio.NET
e) VB.NET
2. Database
a) SQL
b) MS Access
3. Servers
a) Windows 2012
b) MS SQL Server
c) Web Services
d) IIS
The following will be an advantage:
Knowledge and experience in coding on Linux, Windows, Android platform
Knowledge in Java, Flash and PHP"
