Job Title,Company,Location,Job Description
Hiring Branch Manager - Viveks Honda @ Theni,VIVEKS HONDA,"Theni Allinagaram, Theni", Must have experience minimum of 2 Years and should be Capable in managing sales & servi...
Hiring Account Assistant - Viveks Honda @ Theni,VIVEKS HONDA,viveks Honda," Must have accounting knowledge and should experience in Tally, MS Office, GST."
Car Sales Consultant,Pinnacle Honda,"Kolkata, Asansol, Durgapur", Should have a Bike with a valid license Should be comfortable of doing field job Should...
Sales Consultants,Pinnacle Honda,"Kolkata, Asansol", Sales Consultants Job Description - showroom and field sales of Honda cars Basic Automo...
Sales Consultant (Res)*,Central honda,Jaipur, Sales Consultant (Res)* 1 Post Any Graduates / Post Graduates 2 Yea
Sales Consultant,Central honda,Cuttack, Sales Consultant 3 Posts Any Graduates / Post Graduates 2 Year
Sales Consultant,Central honda,Cuttack, Sales Consultant 3 Posts Any Graduates / Post Graduates 2 Yea
Sales Consultant (Res)*,Central honda,berhampur, Sales Consultant (Res)* 1 Post Any Graduates / Post Graduates 2 Yea
Sales Manager,Haritha Honda,Madurai, Qualification = Degree / Diploma with Min 3 years of experience as sales manager in Two...
Marketing Executive,Haritha Honda,Madurai, Requirements :- 1. Qualification : - Any Degree.2. Should have knowledge in Marketing. ...
Tele-Marketing Executive (Female Only),Central honda,Bhubaneshwar, Tele-Marketing Executive (Female Only) 1 Post Any Graduates / Post Graduates 1 Year
Corporate Manager,Central honda,Bhubaneshwar, Corporate Manager 1 Post Any Graduates / Post Graduates 5 Year
Mechanic,Vision Motors,Kochi, Experience: : ITIDiploma with 2-5 year experience in automobile service section.
Service Manager (Honda 2 wheeler),Loyal Infoservices Private Limited,Aurangabad, Roles and Responsibilities The person should have experience of service related activit...
Workshop Manager (Honda 2 wheeler),Loyal Infoservices Private Limited,Aurangabad, Roles and Responsibilities The person should have experience of workshop related activi...
Tender Executive for Electronics Company Near Hero Honda Chowk,Capital Placement Services,Gurgaon," Industry:Semiconductors / Electronics Functional Area:Sales , Retail , Business Develop..."
Payables AM Accounts for Electronics Company Near Hero Honda Chowk,Capital Placement Services,Gurgaon, Manage process of Accounts Payable/ Bills Payable (Vendor). Manage vendor/ supplier rel...
Sales Executive,VFM Motors Private Limited,Bengaluru, We are looking to hire two Sales Executives with driven and enthusiastic personalities!...
Sales Executive,VFM Motors Private Limited,India, We are looking to hire two Sales Executives with driven and enthusiastic personalities!...
Service Engineer,Cyient,Pune, Responsibilities Research and troubleshoot complex engine problems using advanced troub...
Outbound Executive,Wowidea Consultingminds Private Limited  ,Jaipur, DAY SHIFT 1.Bank on US- Min 6 months of Experience in outbound sales with Excellent Com...
Packaging Manager,Garrett Advancing Motion,Pune," Good man management skills, people friendly, acceptable to all Global mindset should al..."
Evaluation Engineer / Car Inspection Engineer For Bharuch,Cars24,Bharuch, Should have worked as an evaluator in used car dealerships or in an authorized Should b...
Sales consultant,The Business House,Kannur, Responsible for prospecting and prospect conversion by carrying out the Honda Edge proc...
Job Opening For Quality Assurance Engineer / QA Engineer (fresher),Amiti Software Technologies Private Limited,Bangalore/Bengaluru, No physical presence required. All the process from interview to selection will be onli...
Ceo,Capital Placement Services,Kolkata, Handle entire Operations of Sales & Service Center Man Management Achieve Top/ Bottom l...
Java Full Stack Developer,TechBlocks,Remote," Bachelors degree in Computer Science, Computer Engineering, or Electrical Engineering S..."
AR  /  VR Development Service,Urvam Technology,Ahmedabad," If you deeply desire to turn that long - held vision into a reality, we will help you t..."
CGT / ST / Technician / Luxury Car Evaluator / Car Evaluator,Avani Consulting,"Chandigarh, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," We are looking for: Experience in the after-sales with a trusted OEM (Honda, Hyundai, G..."
CGT / ST / Technician / Luxury Car Evaluator / Car Evaluator,Avani Consulting,"Chandigarh, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," We are looking for: Experience in the after-sales with a trusted OEM (Honda, Hyundai, G..."
Luxury Car Evaluator / Car Evaluator,Avani Consulting,"Kolkata, Chandigarh, Indore, Hyderabad/Secunderabad, Pune, Lucknow, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," We are looking for: Experience in the after-sales with a trusted OEM (Honda, Hyundai, G..."
Luxury Car Evaluator / Car Evaluator,Avani Consulting,"Kolkata, Chandigarh, Indore, Hyderabad/Secunderabad, Pune, Lucknow, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," We are looking for: Experience in the after-sales with a trusted OEM (Honda, Hyundai, G..."
Hiring For Freshers -  Associate / Assistant Manager - BD,WANNAMO MARKETING PRIVATE LIMITED,"Noida, New Delhi, Faridabad, Gurgaon/Gurugram", A quick thinker who can adapt to a fast-paced startup environment and work with minimum...
Operations Executive/Team Lead - Publishing,WANNAMO MARKETING PRIVATE LIMITED,"Noida, New Delhi, Faridabad, Gurgaon/Gurugram", A platform for you to grow yourself with maximum speed with zero political obstacles an...
Java Developer,Amiti Software Technologies Pvt Ltd,Bangalore/Bengaluru," Java Developer with good knowledge and experience in Spring, J2EE, Hibernate, Servlet, ..."
Software Quality Assurance Engineer,Amiti Software Technologies Pvt Ltd,Bengaluru," Good understanding of Web Applications developed using Java, Servlets and Databases suc..."
Java Developer,Amiti Software Technologies Pvt Ltd,Bangalore/Bengaluru," Java Developer with good knowledge and experience in Spring, J2EE, Hibernate, Servlet, ..."
Greeting from Elite Group,ELITE AUTOMOBILES PVT LTD,Bangalore/Bengaluru, Elite Group is now hiring for Customer Care Manager Elite Group is an authorized dealer...
Work From Home or Office - Telecallers Wanted For Health Insurance BPO,ARMS CONNECT  - STAR HEALTH BPO,Remote, Dayshift Only 930 am to 630 pmWORK FROM HOME as well as WORK FROM OFFICE option availab...
Head Security,Medhas HR Services LLP  ,Panaji/Panjim, Qualification: Graduate + preferred Industrial Security Diploma with 8-10 Yrs experienc...
Urgent opening For Automotive Japenese MNC-For PPC Executive,INNOVATION TRIGGERS MGMT PRIVATE LIMITED  ,Bhiwadi, Roles and Responsibilities 1. Mandatory Requirement1. B. Tech in Mechanical with 3 to 4...
Spinny Hiring||Business Developer Manager||Lucknow & Mumbai,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,"Lucknow, Mumbai (All Areas)", Great Opportunity to start career with Spinny Spinny is hiring for Business Developer M...
Customer Care Consultant,Invensis Technologies Pvt Ltd  ,Bangalore/Bengaluru, Shift timing : Day shiftExcellent Verbal and Written Communication skills requiredExper...
Ceo for Luxury Retail Car Showroom,Capital Placement Services,Kolkata, Handle entire Operations of Sales & Service Center Man Management Achieve Top / Bottom ...
Principal Software Engineer ,Visteon,Bangalore/Bengaluru, Experience working with and managing Honda customer expectations Previous experience as...
Sales,Lord Varun Corporate Services Ltd.  ,Gurgaon/Gurugram(IMT Manesar)," Strong in RFQ management.Efficient costing , quotation submission & negotiation with cu..."
Project Lead | Oracle Apps Fusion Finance Functional Resource | Noida,AWC Software Pvt. Ltd.,Delhi / NCR," We are An ISO 9001:2008 certified company, certified Oracle Gold Partner and Microsoft ..."
Project Lead | Oracle Apps Fusion Finance Functional Resource | Noida,AWC Software Pvt. Ltd.,Delhi / NCR," We are An ISO 9001:2008 certified company, certified Oracle Gold Partner and Microsoft ..."
Director Customer Success (From Media Agency),WANNAMO MARKETING PRIVATE LIMITED,"Noida, New Delhi, Faridabad, Delhi / NCR", *(Great Place to work Award 2022) SingleInterface is the fastest growing SaaS platform ...
Team Leader Sales ll TATA Passenger Car Dealership (New Delhi),B4S Solutions Pvt Ltd ,New Delhi(Lajpat Nagar +1), candidate should have working experience as Team Leader (Sales) in Automobile car deale...
Business Analyst,Multi it solution,Gurgaon/Gurugram, Requirements: A bachelor s degree in business or related field or an MBAA minimum of 3 ...
Team Leader - Quality,Saint-Gobain Glass India Ltd,maharashtra, Job description Responsibilities Hands on experience in handling quality in Tier1 suppl...
Marketing Engineer/Sr. Engineer  (Female Candidate Can only apply),SOMIC ZF COMPONENTS PVT LTD,Gurgaon/Gurugram, Please find JD for Marketing Engineer/Sr. Engineer (Job experience 3-5 yrs) 1. Tracking...
Software Developer,Stratbeans Consulting Pvt. Ltd.,Gurgaon," Min 75 % throughout (10th, 12th and Graduation) Note: We give special preference to peo..."
Technical Retail Associate - Bhubaneshwar,"OLX, Inc",Bhubaneswar, What you will be doing: Managing the stockyard process and ensure smooth delivery of ca...
PURCHASE COORDINATOR,DIVYA PLACEMENT CONSULTANTS,Faridabad, anufacturing of plastic components and sub assemblies for the automotive sector supplyi...
Plant Head,WSD Consultant,Faridabad, should be aware of certification activities alsoShould have good exposure of Operation ...
Paint Technician,The Business House,Kannur, Should have 1 to 4 years experience as automobile Paint technicianRequirements Should h...
Automobile Evaluator,Ealamiun Resource India Pvt Ltd,Kochi/Cochin, Should have worked as an evaluator in used car dealerships or in an authorized service ...
Deputy Manager Marketing - Hyundai Supplier Irrungattukottai,Lider Consultancy Services (P) Ltd ,Chennai(Irungattukottai)," From Auto-Component industry (Passenger vehicles and M&HCV), having experience We are L..."
Manager Service For Two Wheeler Company For Assam,Capital Placement Services ,Guwahati, Roles and Responsibilities Service Manager (Two Wheeler Honda )-Minimum of 8 years expe...
Deputy Manager -Design,SUPER MANAGEMENT CONSULTANTS ,Gurgaon/Gurugram," Replying to Customer RFQs (both technically and commercial), finalizing technical speci..."
Product Head NBFC - Two Wheeler,Login Consultancy.com,Chennai," Roles and Responsibilities 15+ yrs experience in Sales, Product & Program management, C..."
