Job Title,Company,Location,Job Description
C/Unix Programmer Analyst,Gainwell Technologies LLC,"El Paso, TX 79912 (Northwest area)","Applies level of subject matter knowledge to solve a variety of common business issues.
Works on problems of moderately complex scope."
REMOTE: C & VB.net Programmer,American National Family of Companies,"Remote in League City, TX","We understand that comprehensive benefits are important which is why we offer a generous package that includes: medical, dental, vision, short and long-term…"
Senior C/Unix Programmer Analyst,Gainwell Technologies LLC,Texas,"Applies level of subject matter knowledge to solve a variety of common business issues.
Works on problems of moderately complex scope."
"PROGRAMMER/ANALYST, APP DEV SR",McLane Company,"Temple, TX 76504","Accelerated pay based on your experience.
Benefits such as medical, dental, vision, and company-paid life insurance.
401(k) with annual company match."
Programmer Analyst,Tyler Junior College,"Tyler, TX","Keep abreast of the latest technological advancements by (a) studying technical journals, (b) attending seminars on and off campus, (c) learning and sharing…"
Senior DB2 Systems Programmer - Infrastructure Development,"JPMorgan Chase Bank, N.A.","Plano, TX","Your hands-on knowledge in system design, application development, testing and operational stability will help your team deliver high quality products."
Programmer Analyst,University of Texas at Austin,"Austin, TX 78712 (University of Texas area)","The Space and Geophysics Laboratory (SGL) delivers multi-platform software suites to government customers for diverse applications, from real-time data…"
"Programmer Analyst, ATROPS Config Management",Amazon.com Services LLC,"Austin, TX","Programming experience in C, C++, or Java and deep understanding of object-oriented design.
Bachelor's degree in computer science or a related field."
Senior C/UNIX Programmer Analyst,Gainwell Technologies,"El Paso, TX 79901 (Central area)","Applies level of subject matter knowledge to solve a variety of common business issues.
Works on problems of moderately complex scope."
Software Engineer,TanPro Technologies,"Houston, TX","This position is accountable for the analysis, development, maintenance and testing of software applications and/or programs as it relates to the ABCBS Private…"
Programmer Analyst II (Dallas Fire & Rescue Support),"City of Dallas, TX","Dallas, TX","Assist, supports, and works closely with lower-level programmer analysts in the successful completion of various projects and initiatives."
Software Programmer,"Salient CRGT, Inc","Lackland AFB, TX 78236","This is a Software Developer position, working on an exciting project for the United States Air Force, supporting real-world operations."
Gameplay Programmer - Oculus Game Studios,Oculus,"Austin, TX","Experience working with a small team of programmers.
Oculus Game Studios is seeking an accomplished Gameplay Programmer to work with a team of experienced…"
Programmer,Coldwater Technology,"Plano, TX 75075","The Company is presently developing mobile applications for Android and iPhone platforms.
Coldwater offers a competitive salary with performance bonuses, paid…"
Tooling Build Engineer (Starship Engineering),SpaceX,"Brownsville, TX","Interact with numeric control (N/C) programmers, welders, machinists, shop personnel, outside suppliers and engineering owners to ensure flawless and timely…"
CNO Analyst/Programmer,Aces Incorporated,"San Antonio, TX 78253","Clearance: Positions require a Top Secret security clearance, based on current background investigation (SBI), as well as the favorable completion of polygraph."
Services Programmer,id Software,"Dallas, TX","The Services Programmer will work side-by-side with the development, operations, and external platform teams and be primarily responsible for automation of our…"
JR PROGRAMMER,The Center for Health Care Services,"San Antonio, TX","The programmer will work with the team and clients under supervision of the Business Analytics Director to understand requirements, develop specifications, test…"
Programmer analyst,ShreTech Inc,"Frisco, TX 75034","Leverages relevant processes, technology, and subject matter experts to propose appropriate solution options.
3 Years experience as Java , ."
Services Programmer,ZeniMax Media Inc.,"Dallas, TX","The Services Programmer will work side-by-side with the development, operations, and external platform teams and be primarily responsible for automation of our…"
Senior Econometrician and Software Developer,StataCorp,"College Station, TX 77845","Working with a team of statisticians, econometricians, and programmers on all aspects of the design and use of Stata."
Build Engineer (Starship Orbital Launch),SpaceX,"Brownsville, TX","Interact with Numeric Control (N/C) programmers, welders, shop personnel and outside suppliers to ensure flawless and timely execution of assigned projects."
CNO Analyst/Programmer,EverWatch,"San Antonio, TX","Clearance: Positions require a Top Secret security clearance, based on current background investigation (SBI), as well as the favorable completion of polygraph."
Software Engineering Specialist,bp,"Houston, TX","Work with Fortran, CUDA, MPI, OpenMP, C, C++ and Python, and tools that enhance programmer and researcher productivity."
CNO Analyst/Programmer,BrainTrust,"San Antonio, TX 78253","Clearance: Positions require a Top Secret security clearance, based on current background investigation (SBI), as well as the favorable completion of polygraph."
"PROGRAMMER ANALYST, LEAD JAVA",McLane Company,"Temple, TX 76504","Accelerated pay based on your experience.
Benefits such as medical, dental, vision, and company-paid life insurance.
401(k) with annual company match."
Sr. Software Engineer,Katana Graph,"Remote in Austin, TX","Successful engineers at Katana Graph are familiar with graph algorithms, comfortable working in C/C++, and are proficient parallel programmers, in addition to…"
Integration Analyst,Steward Health Care,"Dallas, TX 75201 (Downtown area)","O Works closely with integration programmers on more complex development efforts and support issues.
The Decision Services & Integration Team advances Steward's…"
Embedded Cyber Security Engineer,Infomatics,"Plano, TX","Proficient programmer (i.e., C, C++, C#, and Java).
Minimum 3 years of embedded systems development and deployment experience."
System Analyst (Ref: #2963),Intellect Business Solutions,"Irving, TX","Develop/maintain software programs/applications involving Microstrategy Technologies.
Provide support to applications in Microstrategy Production environment."
Build Engineer (Starship Orbital Launch),SpaceX,"Brownsville, TX","Interact with Numeric Control (N/C) programmers, welders, shop personnel and outside suppliers to ensure flawless and timely execution of assigned projects."
Fortran Compiler and Runtime Library Developer,Hewlett Packard Enterprise,"Grapevine, TX","Experienced C and C++ programmer.
Responsibilities include supporting, optimizing, and enhancing runtime language support such as IO and Fortran intrinsic…"
"PROGRAMMER ANALYST, LEAD ORACLE",McLane Company,"Temple, TX 76504","Accelerated pay based on your experience.
Benefits such as medical, dental, vision, and company-paid life insurance.
401(k) with annual company match."
Services Programmer,id Software,"Dallas, TX","The Services Programmer will work side-by-side with the development, operations, and external platform teams and be primarily responsible for automation of our…"
Programmer Analyst II (Dallas Fire & Rescue Support),"City of Dallas, TX","Dallas, TX","Assist, supports, and works closely with lower-level programmer analysts in the successful completion of various projects and initiatives."
CNO Analyst/Programmer,EverWatch,"San Antonio, TX","Clearance: Positions require a Top Secret security clearance, based on current background investigation (SBI), as well as the favorable completion of polygraph."
Services Programmer,ZeniMax Media Inc.,"Dallas, TX","The Services Programmer will work side-by-side with the development, operations, and external platform teams and be primarily responsible for automation of our…"
Sales Representative II,"Oil States Industries, Inc.","Houston, TX 77015 (Northshore area)","The position is suited towards an individual who is currently in a planning or estimating role or possibly a highly talented cnc machinist, programmer or shop…"
Electrical Engineering Technician,Gyrodata Incorporated,"Houston, TX 77095","Exposure to tools for microcontroller programmer in assembly language and ANSI C, ATE control using NI Labview.
Experience in downhole oil field industry."
